RE_count	Gene_Name	Mean_Gene_Expression
0	MPP3	0.1666666666666666
0	MRPL3	745.5
0	MRPS30	339.1666666666667
0	MS4A14	3.0
0	MS4A2	27.33333333333333
0	MS4A3	0.1666666666666666
0	MSC	0.3333333333333333
0	MSR1	36.0
0	MSS51	77.5
0	MTDH	2085.0
0	MTHFD2L	157.16666666666666
0	MTMR14	436.3333333333333
0	MTMR6	494.8333333333333
0	MTRNR2L11	1085.1666666666667
0	MTRNR2L5	0.5
0	MTTP	6.0
0	MTX2	195.5
0	MTX3	291.6666666666667
0	MUC16	693.1666666666666
0	MXRA7	803.8333333333334
0	MYCL	0.1666666666666666
0	MYLK	88.33333333333333
0	MYO6	782.6666666666666
0	MYOCD	7.0
0	MYOT	55.66666666666666
0	N6AMT1	506.0
0	NAAA	468.1666666666667
0	NAALAD2	7.833333333333333
0	NACA2	3.5
0	NAF1	147.66666666666666
0	NANP	111.33333333333331
0	NAT8	3.6666666666666665
0	NBAS	960.6666666666666
0	NBPF1	198.5
0	NCDN	165.0
0	NCK1	1276.5
0	NCKAP5	0.1666666666666666
0	NCOA4	4721.833333333333
0	NCOA6	1259.5
0	NDST4	0.5
0	NDUFAF3	1737.1666666666667
0	NDUFB4	1608.1666666666667
0	NDUFS4	1175.3333333333333
0	NDUFV1	1826.8333333333333
0	NEB	113.0
0	NEBL	1.3333333333333333
0	NECTIN3	64.0
0	NEK11	57.0
0	NF1	866.5
0	NID2	65.33333333333333
0	NKAP	1199.5
0	NLE1	651.1666666666666
0	NLRP1	1091.0
0	NME2	2088.1666666666665
0	NOL10	745.6666666666666
0	NOP56	3517.6666666666665
0	NOP58	3235.6666666666665
0	NOVA1	1.6666666666666667
0	NPAT	1701.8333333333333
0	NPM1	19321.666666666668
0	NPM3	239.33333333333331
0	NPR3	1.0
0	NPTX2	28.666666666666668
0	NRIP3	288.3333333333333
0	NSMCE3	265.0
0	NSUN7	2.5
0	NTMT1	1101.3333333333333
0	NUBPL	373.6666666666667
0	NUDT12	38.5
0	NUDT16	587.0
